title,avg_reviews,complete_link,publisher,price,pages
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning,4.8,https://www.amazon.com/Data-Science-Google-Cloud-Platform/dp/1098118952/ref=sr_1_96?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-96,"O'Reilly Media; 2nd edition (May 3, 2022)",50.99,459
Text as Data: A New Framework for Machine Learning and the Social Sciences,4.7,https://www.amazon.com/Text-Data-Framework-Learning-Sciences/dp/0691207550/ref=sr_1_86?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-86,"Princeton University Press (March 29, 2022)",35.99,360
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),4.8,https://www.amazon.com/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_156?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-156,"Chapman and Hall/CRC; 1st edition (November 22, 2019)",80.0,510
Mathematics for Machine Learning,4.7,https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_148?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-148,"Cambridge University Press; 1st edition (April 23, 2020)",48.99,398
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python",4.4,https://www.amazon.com/Building-Data-Science-Applications-FastAPI-ebook/dp/B09926TFQ5/ref=sr_1_142?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-142,"Packt Publishing; 1st edition (October 8, 2021)",31.49,426
Quantum Machine Learning: An Applied Approach: The Theory and Application of Quantum Machine Learning in Science and Industry,4.1,https://www.amazon.com/Quantum-Machine-Learning-Approach-Application/dp/1484270975/ref=sr_1_140?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-140,"Apress; 1st ed. edition (July 30, 2021)",49.48,572
"The Data Science Workshop: Learn how you can build machine learning models and create your own real-world data science projects, 2nd Edition",4.6,https://www.amazon.com/Data-Science-Workshop-learning-real-world-ebook/dp/B08H4G9R34/ref=sr_1_182?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-182,"Packt Publishing; 2nd edition (August 28, 2020)",17.84,824
Data Science Crash Course for Beginners with Python: Fundamentals and Practices with Python (Machine Learning & Data Science for Beginners),5.0,https://www.amazon.com/Science-Crash-Course-Beginners-Python/dp/1734790148/ref=sr_1_247?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-247,"AI Publishing LLC (August 31, 2020)",23.48,314
Azure Data Scientist Associate Certification Guide: A hands-on guide to machine learning in Azure and passing the Microsoft Certified DP-100 exam,4.4,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A07383351LXTTO69ZN3QK&qualifier=1671165050&id=5922903231367767&widgetName=sp_mtf&url=%2FAzure-Scientist-Associate-Certification-hands%2Fdp%2F1800565003%2Fref%3Dsr_1_179_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165050%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-179-spons%26psc%3D1,"Packt Publishing (December 3, 2021)",53.64,448
The Hundred-Page Machine Learning Book,4.6,https://www.amazon.com/Hundred-Page-Machine-Learning-Book/dp/199957950X/ref=sr_1_244?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-244,"Andriy Burkov (January 13, 2019)",31.99,160
Pattern Recognition and Machine Learning (Information Science and Statistics),4.6,https://www.amazon.com/Pattern-Recognition-Learning-Information-Statistics/dp/0387310738/ref=sr_1_238?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-238,"Springer (August 17, 2006)",105.22,738
"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools",4.4,https://www.amazon.com/Introducing-Data-Science-Machine-Learning/dp/1633430030/ref=sr_1_231?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-231,"Manning; 1st edition (May 23, 2016)",42.74,320
